world_rank,university_name,country,teaching,international outlook,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,tuition_fee,median_salary
201-250,Technical University of Darmstadt,Germany,37.1,54.4,43.2,51.1,99.1,,20300,53.6,0.18,28 : 72,2016,,
201-250,University of Texas at Dallas,United States of America,24.3,52.3,26.7,86.8,41.8,,16306,22.8,0.23,44:56:00,2016,33654,
201-250,Tilburg University,Netherlands,34.1,71.6,47.1,51.5,57.4,,7576,22.4,0.1,49:51:00,2016,24428.97,
201-250,University of Victoria,Canada,20.6,70.2,30,79,36.6,,17581,21.5,0.11,56:44:00,2016,,
201-250,Wake Forest University,United States of America,34.6,24.2,19.5,94.8,42.5,,7326,4.6,0.05,51:49:00,2016,49308,
201-250,University of Western Ontario,Canada,38.6,73.6,32.4,59,59.7,,27387,20.7,0.16,54:46:00,2016,,
201-250,College of William & Mary,United States of America,38.5,26.6,17.5,85,29.1,,7867,11.8,0.07,54:46:00,2016,41718,
251-300,Aalto University,Finland,31.1,65.4,32.8,62.1,61.6,,16099,24.2,0.17,32 : 68,2016,,
251-300,Aix-Marseille University,France,36.7,63,22.1,64.9,33.1,,71749,45.5,0.13,61:39:00,2016,,
251-300,University of Bath,United Kingdom,28.9,84.8,27.9,56.7,36.3,,12830,18.8,0.3,46:54:00,2016,26085,46530
251-300,Bayreuth University,Germany,32.2,52.6,31.2,60.1,56.4,,12520,35.5,0.08,46:54:00,2016,,
251-300,Bielefeld University,Germany,35.2,45.4,46.2,49.9,60.9,,21428,67.8,0.08,57:43:00,2016,,
251-300,University of Bordeaux,France,25.3,54.6,22,71.7,30.6,,51239,19.4,0.12,58:42:00,2016,,
251-300,Colorado School of Mines,United States of America,28.5,35.5,30.3,71.8,83.7,,5287,18.2,0.12,26 : 74,2016,34828,58100
251-300,Colorado State University,United States of America,31.6,34.5,33,59.3,41,,26769,19,0.05,52:48:00,2016,28374,44800
251-300,University of Delaware,United States of America,23.7,41.6,34,70,98.7,,19262,15.9,0.1,56:44:00,2016,31420,45900
251-300,University of Georgia,United States of America,41.1,39.2,30.5,52.2,30.9,,33119,19.9,0.07,57:43:00,2016,29844,44100
251-300,University of Iceland,Iceland,16.2,61,16.2,91.4,28,,13960,25.9,0.08,66:34:00,2016,,
251-300,Iowa State University,United States of America,31.2,35.4,29.4,61.5,54,,29991,17.4,0.11,44:56:00,2016,21483,45400
251-300,Justus Liebig University Giessen,Germany,32.9,46.8,33.9,52.9,46.4,,25682,53.9,0.09,62:38:00,2016,,
251-300,University of Liège,Belgium,29.1,69.7,36.6,46.5,98.9,,20951,25.9,0.23,54:46:00,2016,,
251-300,Linköping University,Sweden,24.2,57.7,18.9,76.8,42.1,,17866,7.7,0.1,52:48:00,2016,,
251-300,"National University of Ireland, Galway",Republic of Ireland,27.3,76.5,25.4,68.5,41.9,,14067,26.8,0.14,56:44:00,2016,,
251-300,North Carolina State University,United States of America,36.1,49,30.5,60,40.7,,30533,13.6,0.11,44:56:00,2016,26399,47200
251-300,Oregon State University,United States of America,30.6,42.8,28.5,63.8,32.1,,22578,16.8,0.09,47:53:00,2016,28846,45100
251-300,Queen’s University,Canada,35.8,61.6,35.8,54.4,54.2,,20488,22.1,0.1,58:42:00,2016,,
251-300,Rensselaer Polytechnic Institute,United States of America,30.4,40.3,31.5,65.1,79.6,,6671,15,0.16,30 : 70,2016,50797,61100
251-300,Royal College of Surgeons in Ireland,Republic of Ireland,29.9,90.1,20.1,65.3,33.9,,2473,15.6,0.63,55:45:00,2016,,
251-300,Ruhr University Bochum,Germany,32.8,51.7,30,54.4,66.6,,38675,46.3,0.13,48:52:00,2016,,
251-300,Saint Louis University,United States of America,36.9,26.6,10.9,85,29.9,,11919,5.8,0.08,58:42:00,2016,40726,
251-300,Simon Fraser University,Canada,23.2,61.4,29.2,72.8,42.3,,26640,28.3,0.19,55:45:00,2016,,
251-300,University of Surrey,United Kingdom,31.7,90.4,28.9,51.2,34.9,,12063,16.6,0.38,55:45:00,2016,24675,36660
251-300,Syracuse University,United States of America,31.4,38.3,20.8,77.1,36.3,,19660,15.9,0.15,55:45:00,2016,45022,45700
251-300,"University of Tennessee, Knoxville",United States of America,29.5,39.3,23.2,81.4,41.3,,24716,17,0.05,,2016,30858,43800
251-300,Tulane University,United States of America,39.1,35.3,19.3,67.8,32.4,,11381,8.4,0.08,56:44:00,2016,51010,49100
251-300,Umeå University,Sweden,20.8,56.1,25,74.5,31.1,,16667,11.9,0.07,60:40:00,2016,,
251-300,Vienna University of Technology,Austria,34.1,77.3,32,54.6,86.5,,26419,52,0.27,27 : 73,2016,,
251-300,Virginia Polytechnic Institute and State University,United States of America,34.9,29.5,38.2,54.2,43.3,,30850,18.6,0.1,42:58:00,2016,29371,53500
301-350,Aberystwyth University,United Kingdom,21.6,72.2,18.9,67.2,31.3,,9252,19.2,0.18,48:52:00,2016,,26790
301-350,"University of Alaska, Fairbanks",United States of America,25.1,53.5,23.1,63,51.2,,3837,8.2,0.07,53:47:00,2016,22469,
301-350,Autonomous University of Madrid,Spain,35.6,48.6,30.9,46.9,33,,28296,13,0.15,56:44:00,2016,,
301-350,Bangor University,United Kingdom,22.6,81.3,22.1,65.4,31,,9567,19.5,0.22,55:45:00,2016,,32430
301-350,University of Bremen,Germany,30.9,50,32.7,50,46,,18590,25.6,0.11,50:50:00,2016,,
301-350,University of Cincinnati,United States of America,31.3,28.3,20.4,72.1,35.3,,36108,15.7,0.06,54:46:00,2016,26334,
301-350,University of Connecticut,United States of America,35.9,43.1,25.6,57,30.9,,25742,13,0.11,51:49:00,2016,35858,48000
301-350,University of Essex,United Kingdom,33.9,93.7,33.3,38.6,28.9,,12695,19.8,0.39,55:45:00,2016,21079.5,35250
301-350,George Mason University,United States of America,29.6,36.9,21.2,64.9,29.1,,26622,17,0.07,54:46:00,2016,32582,47800
301-350,University of Greifswald,Germany,30.1,41.7,23.5,61.3,32.6,,10931,24,0.06,55:45:00,2016,,
301-350,University of Hohenheim,Germany,30.9,50.3,33.8,51.5,52.8,,9163,41.2,0.13,56:44:00,2016,,
301-350,University of Innsbruck,Austria,23.6,95.7,16.9,67.3,39.9,,18209,16.9,0.39,54:46:00,2016,,
301-350,University of Kent,United Kingdom,24.6,87.2,19.1,60.9,28.8,,17638,14.4,0.27,53:47:00,2016,22447.2,35250
301-350,Leibniz University of Hanover,Germany,36.5,43.2,36.9,39,69.6,,22401,62.7,0.12,41:59:00,2016,,
301-350,Medical College of Wisconsin,United States of America,25.4,30.4,12.1,85.2,31.8,,1211,0.6,0.05,48:52:00,2016,,
301-350,University of Milan,Italy,30.5,37.7,24.2,64.8,40.9,,58618,24.3,0.05,60:40:00,2016,,
301-350,University of Milan-Bicocca,Italy,24.3,34.3,25.5,65.8,46.6,,33370,72.5,0.05,60:40:00,2016,,
301-350,Montpellier University,France,38.7,54.4,16.7,59.5,31.9,,36731,18.4,0.14,51:49:00,2016,,
301-350,University of Naples Federico II,Italy,24.7,21.1,14.8,81.3,47.4,,83653,64.2,0.01,,2016,,
301-350,University of Navarra,Spain,31.9,52.6,20.8,57.5,63.5,,11259,10.6,0.16,52:48:00,2016,,
301-350,University of Nebraska-Lincoln,United States of America,30.1,45.8,30.2,53.5,35.6,,21789,16.4,0.09,46:54:00,2016,23148,41500
301-350,Örebro University,Sweden,18.3,39.4,10.4,87.8,29.8,,8788,15.8,0.02,61:39:00,2016,,
301-350,University of Oregon,United States of America,21.2,33.5,22.7,72.6,30.8,,24418,20.2,0.11,52:48:00,2016,33442,42200
301-350,University of Padua,Italy,25.7,37.9,22.6,74.6,32.6,,62577,18.3,0.04,56:44:00,2016,,
301-350,University of Pavia,Italy,25,40.5,22.5,65.1,69.4,,22958,40.6,0.06,56:44:00,2016,,
301-350,Plymouth University,United Kingdom,19.3,64,18,75.2,28.5,,24121,25.9,0.13,52:48:00,2016,17625,33840
301-350,University of Southern Denmark,Denmark,19.2,71.8,14.7,79.7,28,,22210,12.7,0.16,52:48:00,2016,,12214
301-350,University of Strasbourg,France,25.5,71.6,23.4,64.4,32.8,,46208,17.8,0.21,58:42:00,2016,,
301-350,Technical University of Dortmund,Germany,34.2,40.8,29.8,55.3,48.6,,29143,88.9,0.1,47:53:00,2016,,
301-350,Toulouse 1 Capitole University,France,18.6,66.7,35.7,56.3,32.5,,19011,43.8,0.19,59:41:00,2016,,
301-350,University of Trieste,Italy,26.5,47.3,18.5,74.1,32.3,,18135,25.8,0.09,56:44:00,2016,,
301-350,University of Turin,Italy,27.4,38.8,22.3,67.5,54.2,,67552,66,0.06,62:38:00,2016,,
301-350,University of Turku,Finland,27.1,66.2,21.2,65.8,31.2,,12326,14.6,0.05,61:39:00,2016,,
301-350,Vrije Universiteit Brussel,Belgium,28.7,64.5,24.5,56.8,77.1,,9020,17.1,0.16,55:45:00,2016,,
301-350,VŠB - Technical University of Ostrava,Czech Republic,18.8,22.3,15.7,85.5,32.1,,14991,23.9,0.05,49:51:00,2016,,
301-350,York University,Canada,30.2,58.2,30.8,49.1,33.2,,48007,39.4,0.09,59:41:00,2016,,
351-400,"Binghamton University, State University of New York",United States of America,22.7,53.6,17.4,62,34,,15799,23.3,0.14,48:52:00,2016,22164,53600
351-400,Drexel University,United States of America,31.2,46.3,14.6,57.7,36.3,,20713,10.8,0.18,48:52:00,2016,51030,53400
351-400,University of Eastern Finland,Finland,24.8,46.1,20.7,65.1,33.3,,10798,17.3,0.06,64:36:00,2016,,
351-400,University of Florence,Italy,21.7,38.5,20.4,72.1,35.9,,54290,17.2,0.07,59:41:00,2016,,
351-400,University of St Gallen,Switzerland,25.8,97.6,11.2,53.5,41.8,,6848,10.8,0.34,32 : 68,2016,,
351-400,Graz University of Technology,Austria,26,69.3,15.8,52.9,77.2,,7542,12.5,0.16,0.970833333,2016,,
351-400,University of Guelph,Canada,28,53.6,34.2,44.4,47.4,,21643,28.3,0.04,60:40:00,2016,,
